12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets ETF;;;;;;;;;;;;;;;
Inception Date;Apr 07, 2003;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);1,209.00;;;;;;;;;;;;;;
Shares Outstanding;545,400,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
TAL;TAL EDUCATION GROUP ADR REPTG;Equity;0,42;63,71;1 442 653,00;91 911 422,63;91 911 422,63;Consumer Discretionary;B4MGD82;US8740801043;New York Stock Exchange Inc.;China;USD;USD;1,00
TCS;TATA CONSULTANCY SERVICES LTD;Equity;0,42;26,89;3 387 310,00;91 077 007,94;91 077 007,94;Information Technology;B01NPJ1;INE467B01029;National Stock Exchange Of India;India;USD;INR;75,85
068270;CELLTRION INC;Equity;0,40;247,13;354 320,00;87 564 545,61;87 564 545,61;Health Care;B0C5YV1;KR7068270008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
AMXL;AMERICA MOVIL L;Equity;0,40;0,69;126 459 500,00;86 670 325,64;86 670 325,64;Communication;2667470;MXP001691213;Bolsa Mexicana De Valores;Mexico;USD;MXN;22,44
HINDUNILVR;HINDUSTAN UNILEVER LTD;Equity;0,39;27,78;3 092 700,00;85 917 960,19;85 917 960,19;Consumer Staples;6261674;INE030A01027;National Stock Exchange Of India;India;USD;INR;75,85
ICICIBANK;ICICI BANK LTD;Equity;0,38;4,54;18 060 234,00;81 952 902,58;81 952 902,58;Financials;BSZ2BY7;INE090A01021;National Stock Exchange Of India;India;USD;INR;75,85
QNBK;QATAR NATIONAL BANK;Equity;0,38;4,86;16 834 119,00;81 835 733,67;81 835 733,67;Financials;6148197;QA0006929895;Qatar Exchange;Qatar;USD;QAR;3,64
2010;SAUDI BASIC INDUSTRIES;Equity;0,37;23,71;3 376 425,00;80 059 098,18;80 059 098,18;Materials;B1324D0;SA0007879121;Saudi Stock Exchange;Saudi Arabia;USD;SAR;3,75
B3SA3;B3 BRASIL BOLSA BALCAO SA;Equity;0,35;9,84;7 771 401,00;76 488 053,04;76 488 053,04;Financials;BG36ZK1;BRB3SAACNOR6;XBSP;Brazil;USD;BRL;5,06
883;CNOOC LTD;Equity;0,35;1,14;67 009 000,00;76 346 043,28;76 346 043,28;Energy;B00G0S5;HK0883013259;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
BBCA;BANK CENTRAL ASIA;Equity;0,34;2,00;37 071 900,00;74 196 142,96;74 196 142,96;Financials;B01C1P6;ID1000109507;Indonesia Stock Exchange;Indonesia;USD;IDR;14 165,00
1120;AL RAJHI BANK;Equity;0,34;15,77;4 625 468,00;72 952 632,37;72 952 632,37;Financials;B12LZH9;SA0007879113;Saudi Stock Exchange;Saudi Arabia;USD;SAR;3,75
