12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
EDU;NEW ORIENTAL EDUCATION & TECHNOLOG;Equity;0,45;128,38;16 863,00;2 164 871,94;2 164 871,94;Consumer Discretionary;B1CN1G6;US6475811070;New York Stock Exchange Inc.;China;USD;USD;1,00
051910;LG CHEM LTD;Equity;0,45;383,78;5 598,00;2 148 426,65;2 148 426,65;Materials;6346913;KR7051910008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
BHARTIARTL;BHARTI AIRTEL LTD;Equity;0,44;7,38;286 454,00;2 115 195,75;2 115 195,75;Communication;6442327;INE397D01024;National Stock Exchange Of India;India;USD;INR;75,85
006400;SAMSUNG SDI LTD;Equity;0,44;315,25;6 648,00;2 095 793,32;2 095 793,32;Information Technology;6771645;KR7006400006;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
YUMC;YUM CHINA HOLDINGS INC;Equity;0,43;49,25;42 387,00;2 087 559,75;2 087 559,75;Consumer Discretionary;BYW4289;US98850P1093;New York Stock Exchange Inc.;China;USD;USD;1,00
2628;CHINA LIFE INSURANCE LTD H;Equity;0,39;2,06;900 000,00;1 855 717,99;1 855 717,99;Financials;6718976;CNE1000002L3;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2412;CHUNGHWA TELECOM LTD;Equity;0,36;3,81;451 000,00;1 718 066,28;1 718 066,28;Communication;6287841;TW0002412004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
PDD;PINDUODUO ADR REPRESENTING INC;Equity;0,36;73,11;23 335,00;1 706 021,85;1 706 021,85;Consumer Discretionary;BYVW0F7;US7223041028;NASDAQ;China;USD;USD;1,00
PTT.R;PTT NON-VOTING DR PCL;Equity;0,35;1,20;1 393 500,00;1 675 663,79;1 675 663,79;Energy;6420408;TH0646010R18;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
3008;LARGAN PRECISION LTD;Equity;0,35;139,57;12 000,00;1 674 813,74;1 674 813,74;Information Technology;6451668;TW0003008009;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
