12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
EFX;EQUIFAX INC;Equity;0,11;167,98;333 282,00;55 984 710,36;55 984 710,36;Industrials;2319146;US2944291051;New York Stock Exchange Inc.
TMUS;T MOBILE US INC;Equity;0,10;102,31;535 417,00;54 778 513,27;54 778 513,27;Communication;B94Q9V0;US8725901040;NASDAQ
BIIB;BIOGEN INC;Equity;0,10;279,27;196 090,00;54 762 054,30;54 762 054,30;Health Care;2455965;US09062X1037;NASDAQ
INCY;INCYTE CORP;Equity;0,10;92,07;590 539,00;54 370 925,73;54 370 925,73;Health Care;2471950;US45337C1027;NASDAQ
TRU;TRANSUNION;Equity;0,10;87,91;611 811,00;53 784 305,01;53 784 305,01;Industrials;BYMWL86;US89400J1079;New York Stock Exchange Inc.
PG;PROCTER & GAMBLE;Equity;0,10;115,62;464 769,00;53 736 591,78;53 736 591,78;Consumer Staples;2704407;US7427181091;New York Stock Exchange Inc.
TFX;TELEFLEX INC;Equity;0,10;352,25;152 393,00;53 680 434,25;53 680 434,25;Health Care;2881407;US8793691069;New York Stock Exchange Inc.
HSY;HERSHEY FOODS;Equity;0,10;129,11;415 125,00;53 596 788,75;53 596 788,75;Consumer Staples;2422806;US4278661081;New York Stock Exchange Inc.
CDW;CDW CORP;Equity;0,10;114,10;468 652,00;53 473 193,20;53 473 193,20;Information Technology;BBM5MD6;US12514G1085;NASDAQ
HCA;HCA HEALTHCARE INC;Equity;0,10;100,55;531 420,00;53 434 281,00;53 434 281,00;Health Care;B4MGBG6;US40412C1018;New York Stock Exchange Inc.
AME;AMETEK INC;Equity;0,10;87,66;596 187,00;52 261 752,42;52 261 752,42;Industrials;2089212;US0311001004;New York Stock Exchange Inc.
DPZ;DOMINOS PIZZA INC;Equity;0,10;378,15;134 265,00;50 772 309,75;50 772 309,75;Consumer Discretionary;B01SD70;US25754A2015;New York Stock Exchange Inc.
PAYC;PAYCOM SOFTWARE INC;Equity;0,09;302,80;161 195,00;48 809 846,00;48 809 846,00;Information Technology;BL95MY0;US70432V1026;New York Stock Exchange Inc.
CTXS;CITRIX SYSTEMS INC;Equity;0,09;140,74;341 222,00;48 023 584,28;48 023 584,28;Information Technology;2182553;US1773761002;NASDAQ
PGR;PROGRESSIVE CORP;Equity;0,09;76,60;624 674,00;47 850 028,40;47 850 028,40;Financials;2705024;US7433151039;New York Stock Exchange Inc.
VRSN;VERISIGN INC;Equity;0,09;204,17;234 145,00;47 805 384,65;47 805 384,65;Information Technology;2142922;US92343E1029;NASDAQ
AKAM;AKAMAI TECHNOLOGIES INC;Equity;0,09;100,34;475 603,00;47 722 005,02;47 722 005,02;Information Technology;2507457;US00971T1016;NASDAQ
YUMC;YUM CHINA HOLDINGS INC;Equity;0,09;49,25;957 415,00;47 152 688,75;47 152 688,75;Consumer Discretionary;BYW4289;US98850P1093;New York Stock Exchange Inc.
COUP;COUPA SOFTWARE INC;Equity;0,09;224,01;209 074,00;46 834 666,74;46 834 666,74;Information Technology;BD87XR1;US22266L1061;NASDAQ
ABC;AMERISOURCEBERGEN CORP;Equity;0,09;94,87;488 820,00;46 374 353,40;46 374 353,40;Health Care;2795393;US03073E1055;New York Stock Exchange Inc.
TSCO;TRACTOR SUPPLY;Equity;0,09;118,45;391 170,00;46 334 086,50;46 334 086,50;Consumer Discretionary;2900335;US8923561067;NASDAQ
TTD;TRADE DESK INC CLASS A;Equity;0,09;354,51;129 702,00;45 980 656,02;45 980 656,02;Information Technology;BD8FDD1;US88339J1051;NASDAQ
ZBRA;ZEBRA TECHNOLOGIES CORP CLASS A;Equity;0,09;258,33;175 721,00;45 394 005,93;45 394 005,93;Information Technology;2989356;US9892071054;NASDAQ
BR;BROADRIDGE FINANCIAL SOLUTIONS INC;Equity;0,09;121,63;371 791,00;45 220 939,33;45 220 939,33;Information Technology;B1VP7R6;US11133T1034;New York Stock Exchange Inc.
VMC;VULCAN MATERIALS;Equity;0,08;112,09;395 105,00;44 287 319,45;44 287 319,45;Materials;2931205;US9291601097;New York Stock Exchange Inc.
GILD;GILEAD SCIENCES INC;Equity;0,08;73,20;602 614,00;44 111 344,80;44 111 344,80;Health Care;2369174;US3755581036;NASDAQ
BURL;BURLINGTON STORES INC;Equity;0,08;203,53;213 811,00;43 516 952,83;43 516 952,83;Consumer Discretionary;BF311Y5;US1220171060;New York Stock Exchange Inc.
GDDY;GODADDY INC CLASS A;Equity;0,08;76,26;568 786,00;43 375 620,36;43 375 620,36;Information Technology;BWFRFC6;US3802371076;New York Stock Exchange Inc.
ANET;ARISTA NETWORKS INC;Equity;0,08;222,78;194 229,00;43 270 336,62;43 270 336,62;Information Technology;BN33VM5;US0404131064;New York Stock Exchange Inc.
MKC;MCCORMICK & CO NON-VOTING INC;Equity;0,08;166,54;259 654,00;43 242 777,16;43 242 777,16;Consumer Staples;2550161;US5797802064;New York Stock Exchange Inc.
TYL;TYLER TECHNOLOGIES INC;Equity;0,08;342,71;125 991,00;43 178 375,61;43 178 375,61;Information Technology;2909644;US9022521051;New York Stock Exchange Inc.
GWW;WW GRAINGER INC;Equity;0,08;303,75;142 056,00;43 149 510,00;43 149 510,00;Industrials;2380863;US3848021040;New York Stock Exchange Inc.
MRNA;MODERNA INC;Equity;0,08;62,00;667 398,00;41 378 676,00;41 378 676,00;Health Care;BGSXTS3;US60770K1079;NASDAQ
ULTA;ULTA BEAUTY INC;Equity;0,08;226,63;180 460,00;40 897 649,80;40 897 649,80;Consumer Discretionary;B28TS42;US90384S3031;NASDAQ
USD;USD CASH;Cash;0,08;100,00;40 895 329,00;40 895 328,93;40 895 328,93;Cash and/or Derivatives;--;--;--
EPAM;EPAM SYSTEMS INC;Equity;0,08;235,00;170 308,00;40 022 380,00;40 022 380,00;Information Technology;B44Z3T8;US29414B1044;New York Stock Exchange Inc.
TER;TERADYNE INC;Equity;0,08;71,75;549 744,00;39 444 132,00;39 444 132,00;Information Technology;2884183;US8807701029;NASDAQ
EXAS;EXACT SCIENCES CORP;Equity;0,07;85,37;458 136,00;39 111 070,32;39 111 070,32;Health Care;2719951;US30063P1057;NASDAQ
WAT;WATER CORP;Equity;0,07;185,56;209 957,00;38 959 620,92;38 959 620,92;Health Care;2937689;US9418481035;New York Stock Exchange Inc.
IAC;IAC INTERACTIVE;Equity;0,07;274,30;141 780,00;38 890 254,00;38 890 254,00;Communication;B0F0F09;US44919P5089;NASDAQ
FICO;FAIR ISAAC CORP;Equity;0,07;413,52;93 166,00;38 526 004,32;38 526 004,32;Information Technology;2330299;US3032501047;New York Stock Exchange Inc.
W;WAYFAIR INC CLASS A;Equity;0,07;184,76;207 197,00;38 281 717,72;38 281 717,72;Consumer Discretionary;BQXZP64;US94419L1017;New York Stock Exchange Inc.
JKHY;JACK HENRY AND ASSOCIATES INC;Equity;0,07;172,25;222 024,00;38 243 634,00;38 243 634,00;Information Technology;2469193;US4262811015;NASDAQ
XYL;XYLEM INC;Equity;0,07;64,16;585 698,00;37 578 383,68;37 578 383,68;Industrials;B3P2CN8;US98419M1009;New York Stock Exchange Inc.
REGN;REGENERON PHARMACEUTICALS INC;Equity;0,07;588,39;63 241,00;37 210 371,99;37 210 371,99;Health Care;2730190;US75886F1075;NASDAQ
SSNC;SS AND C TECHNOLOGIES HOLDINGS INC;Equity;0,07;56,65;655 459,00;37 131 752,35;37 131 752,35;Information Technology;B58YSC6;US78467J1007;NASDAQ
ALNY;ALNYLAM PHARMACEUTICALS INC;Equity;0,07;125,39;295 597,00;37 064 907,83;37 064 907,83;Health Care;B00FWN1;US02043Q1076;NASDAQ
DLTR;DOLLAR TREE INC;Equity;0,07;87,77;421 926,00;37 032 445,02;37 032 445,02;Consumer Discretionary;2272476;US2567461080;NASDAQ
LUV;SOUTHWEST AIRLINES;Equity;0,07;35,87;1 029 349,00;36 922 748,63;36 922 748,63;Industrials;2831543;US8447411088;New York Stock Exchange Inc.
SRPT;SAREPTA THERAPEUTICS INC;Equity;0,07;158,85;231 621,00;36 792 995,85;36 792 995,85;Health Care;B8DPDT7;US8036071004;NASDAQ
WST;WEST PHARMACEUTICAL SERVICES INC;Equity;0,07;200,73;181 955,00;36 523 827,15;36 523 827,15;Health Care;2950482;US9553061055;New York Stock Exchange Inc.
ELS;EQUITY LIFESTYLE PROPERTIES REIT I;Equity;0,07;63,49;565 990,00;35 934 705,10;35 934 705,10;Real Estate;2563125;US29472R1086;New York Stock Exchange Inc.
FDS;FACTSET RESEARCH SYSTEMS INC;Equity;0,07;286,98;123 196,00;35 354 788,08;35 354 788,08;Financials;2329770;US3030751057;New York Stock Exchange Inc.
ABMD;ABIOMED INC;Equity;0,07;241,68;145 796,00;35 235 977,28;35 235 977,28;Health Care;2003698;US0036541003;NASDAQ
PODD;INSULET CORP;Equity;0,07;180,56;194 002,00;35 029 001,12;35 029 001,12;Health Care;B1XGNW4;US45784P1012;NASDAQ
VAR;VARIAN MEDICAL SYSTEMS INC;Equity;0,07;115,29;300 507,00;34 645 452,03;34 645 452,03;Health Care;2927516;US92220P1057;New York Stock Exchange Inc.
IQV;IQVIA HOLDINGS INC;Equity;0,07;138,82;249 441,00;34 627 399,62;34 627 399,62;Health Care;BDR73G1;US46266C1053;New York Stock Exchange Inc.
NBIX;NEUROCRINE BIOSCIENCES INC;Equity;0,07;114,82;300 231,00;34 472 523,42;34 472 523,42;Health Care;2623911;US64125C1099;NASDAQ
BFB;BROWN FORMAN CORP CLASS B;Equity;0,07;65,25;527 619,00;34 427 139,75;34 427 139,75;Consumer Staples;2146838;US1156372096;New York Stock Exchange Inc.
HOLX;HOLOGIC INC;Equity;0,07;50,15;685 744,00;34 390 061,60;34 390 061,60;Health Care;2433530;US4364401012;NASDAQ
VMW;VMWARE CLASS A INC;Equity;0,07;135,85;252 155,00;34 255 256,75;34 255 256,75;Information Technology;B23SN61;US9285634021;New York Stock Exchange Inc.
BAH;BOOZ ALLEN HAMILTON HOLDING CORP C;Equity;0,07;76,97;442 982,00;34 096 324,54;34 096 324,54;Information Technology;B5367T7;US0995021062;New York Stock Exchange Inc.
IT;GARTNER INC;Equity;0,06;118,73;286 115,00;33 970 433,95;33 970 433,95;Information Technology;2372763;US3666511072;New York Stock Exchange Inc.
MASI;MASIMO CORP;Equity;0,06;217,39;154 725,00;33 635 667,75;33 635 667,75;Health Care;B1YWR63;US5747951003;NASDAQ
BKI;BLACK KNIGHT INC;Equity;0,06;72,10;466 440,00;33 630 324,00;33 630 324,00;Information Technology;BDG75V1;US09215C1053;New York Stock Exchange Inc.
NVR;NVR INC;Equity;0,06;3 175,37;10 485,00;33 293 754,45;33 293 754,45;Consumer Discretionary;2637785;US62944T1051;New York Stock Exchange Inc.
EXR;EXTRA SPACE STORAGE REIT INC;Equity;0,06;96,71;334 368,00;32 336 729,28;32 336 729,28;Real Estate;B02HWR9;US30225T1025;New York Stock Exchange Inc.
DRI;DARDEN RESTAURANTS INC;Equity;0,06;75,94;424 145,00;32 209 571,30;32 209 571,30;Consumer Discretionary;2289874;US2371941053;New York Stock Exchange Inc.
NTAP;NETAPP INC;Equity;0,06;42,46;751 191,00;31 895 569,86;31 895 569,86;Information Technology;2630643;US64110D1046;NASDAQ
NDSN;NORDSON CORP;Equity;0,06;185,68;170 650,00;31 686 292,00;31 686 292,00;Industrials;2641838;US6556631025;NASDAQ
POOL;POOL CORP;Equity;0,06;252,67;124 957,00;31 572 885,19;31 572 885,19;Consumer Discretionary;2781585;US73278L1052;NASDAQ
EXPE;EXPEDIA GROUP INC;Equity;0,06;82,52;382 532,00;31 566 540,64;31 566 540,64;Consumer Discretionary;B748CK2;US30212P3038;NASDAQ
HAS;HASBRO INC;Equity;0,06;74,30;417 533,00;31 022 701,90;31 022 701,90;Consumer Discretionary;2414580;US4180561072;NASDAQ
TECH;BIO TECHNE CORP;Equity;0,06;245,73;125 356,00;30 803 729,88;30 803 729,88;Health Care;BSHZ3Q0;US09073M1045;NASDAQ
ETSY;ETSY INC;Equity;0,06;79,76;382 537,00;30 511 151,12;30 511 151,12;Consumer Discretionary;BWTN5N1;US29786A1060;NASDAQ
ROKU;ROKU INC CLASS A;Equity;0,06;108,07;279 976,00;30 257 006,32;30 257 006,32;Communication;BZ1LFG7;US77543R1023;NASDAQ
AMTD;TD AMERITRADE HOLDING CORP;Equity;0,06;39,28;767 042,00;30 129 409,76;30 129 409,76;Financials;2983154;US87236Y1082;NASDAQ
MPWR;MONOLITHIC POWER SYSTEMS INC;Equity;0,06;214,00;139 951,00;29 949 514,00;29 949 514,00;Information Technology;B01Z7J1;US6098391054;NASDAQ
CGNX;COGNEX CORP;Equity;0,06;55,16;536 442,00;29 590 140,72;29 590 140,72;Information Technology;2208288;US1924221039;NASDAQ
EXPD;EXPEDITORS INTERNATIONAL OF WASHIN;Equity;0,06;73,57;401 282,00;29 522 316,74;29 522 316,74;Industrials;2325507;US3021301094;NASDAQ
ZEN;ZENDESK INC;Equity;0,06;80,11;367 087,00;29 407 339,57;29 407 339,57;Information Technology;BMH0MR7;US98936J1016;New York Stock Exchange Inc.
AVY;AVERY DENNISON CORP;Equity;0,06;113,50;257 109,00;29 181 871,50;29 181 871,50;Materials;2066408;US0536111091;New York Stock Exchange Inc.
CRL;CHARLES RIVER LABORATORIES INTERNA;Equity;0,05;179,60;158 270,00;28 425 292,00;28 425 292,00;Health Care;2604336;US1598641074;New York Stock Exchange Inc.
GWRE;GUIDEWIRE SOFTWARE INC;Equity;0,05;103,65;274 202,00;28 421 037,30;28 421 037,30;Information Technology;B7JYSG3;US40171V1008;New York Stock Exchange Inc.
HUBS;HUBSPOT INC;Equity;0,05;204,49;133 731,00;27 346 652,19;27 346 652,19;Information Technology;BR4T3B3;US4435731009;New York Stock Exchange Inc.
MDB;MONGODB INC CLASS A;Equity;0,05;193,67;139 129,00;26 945 113,43;26 945 113,43;Information Technology;BF2FJ99;US60937P1066;NASDAQ
SIRI;SIRIUS XM HOLDINGS INC;Equity;0,05;5,93;4 496 151,00;26 684 656,18;26 684 656,18;Communication;BGLDK10;US82968B1035;NASDAQ
TROW;T ROWE PRICE GROUP INC;Equity;0,05;120,93;217 961,00;26 358 023,73;26 358 023,73;Financials;2702337;US74144T1088;NASDAQ
ENTG;ENTEGRIS INC;Equity;0,05;59,59;442 081,00;26 343 606,79;26 343 606,79;Information Technology;2599700;US29362U1043;NASDAQ
CHRW;CH ROBINSON WORLDWIDE INC;Equity;0,05;77,73;338 634,00;26 322 020,82;26 322 020,82;Industrials;2116228;US12541W2098;NASDAQ
LVS;LAS VEGAS SANDS CORP;Equity;0,05;49,87;527 764,00;26 319 590,68;26 319 590,68;Consumer Discretionary;B02T2J7;US5178341070;New York Stock Exchange Inc.
GGG;GRACO INC;Equity;0,05;48,65;540 170,00;26 279 270,50;26 279 270,50;Industrials;2380443;US3841091040;New York Stock Exchange Inc.
FFIV;F5 NETWORKS INC;Equity;0,05;140,32;186 644,00;26 189 886,08;26 189 886,08;Information Technology;2427599;US3156161024;NASDAQ
MOH;MOLINA HEALTHCARE INC;Equity;0,05;169,89;153 672,00;26 107 336,08;26 107 336,08;Health Care;2212706;US60855R1005;New York Stock Exchange Inc.
PTC;PTC INC;Equity;0,05;75,16;341 037,00;25 632 340,92;25 632 340,92;Information Technology;B95N910;US69370C1009;NASDAQ
PPG;PPG INDUSTRIES INC;Equity;0,05;101,63;251 209,00;25 530 370,67;25 530 370,67;Materials;2698470;US6935061076;New York Stock Exchange Inc.
WYNN;WYNN RESORTS LTD;Equity;0,05;92,31;270 011,00;24 923 365,36;24 923 365,36;Consumer Discretionary;2963811;US9831341071;NASDAQ
URI;UNITED RENTALS INC;Equity;0,05;143,49;172 489,00;24 750 446,61;24 750 446,61;Industrials;2134781;US9113631090;New York Stock Exchange Inc.
CABO;CABLE ONE INC;Equity;0,05;1 725,68;14 338,00;24 742 799,84;24 742 799,84;Communication;BZ07DS4;US12685J1051;New York Stock Exchange Inc.
IONS;IONIS PHARMACEUTICALS INC;Equity;0,05;58,37;422 603,00;24 667 337,11;24 667 337,11;Health Care;BDJ0LS6;US4622221004;NASDAQ
APD;AIR PRODUCTS AND CHEMICALS INC;Equity;0,05;235,04;102 817,00;24 166 107,68;24 166 107,68;Materials;2011602;US0091581068;New York Stock Exchange Inc.
ATUS;ALTICE USA INC CLASS A;Equity;0,05;24,06;998 057,00;24 013 251,42;24 013 251,42;Communication;BDRY7P9;US02156K1034;New York Stock Exchange Inc.
ALLE;ALLEGION PLC;Equity;0,05;102,41;232 453,00;23 805 511,73;23 805 511,73;Industrials;BFRT3W7;IE00BFRT3W74;New York Stock Exchange Inc.
TTC;TORO;Equity;0,05;67,28;353 865,00;23 808 037,20;23 808 037,20;Industrials;2897040;US8910921084;New York Stock Exchange Inc.
HEIA;HEICO CORP CLASS A;Equity;0,04;91,32;255 984,00;23 376 458,88;23 376 458,88;Industrials;2237561;US4228062083;New York Stock Exchange Inc.
ZS;ZSCALER INC;Equity;0,04;102,47;227 488,00;23 310 695,36;23 310 695,36;Information Technology;BZ00V34;US98980G1022;NASDAQ
LII;LENNOX INTERNATIONAL INC;Equity;0,04;218,99;105 230,00;23 044 317,70;23 044 317,70;Industrials;2442053;US5261071071;New York Stock Exchange Inc.
PXD;PIONEER NATURAL RESOURCE;Equity;0,04;98,23;234 246,00;23 009 984,58;23 009 984,58;Energy;2690830;US7237871071;New York Stock Exchange Inc.
BFAM;BRIGHT HORIZONS FAMILY SOLUTIONS I;Equity;0,04;121,56;188 132,00;22 869 325,92;22 869 325,92;Consumer Discretionary;B7MJWP2;US1091941005;New York Stock Exchange Inc.
KMX;CARMAX INC;Equity;0,04;89,98;253 903,00;22 846 191,94;22 846 191,94;Consumer Discretionary;2983563;US1431301027;New York Stock Exchange Inc.
WEX;WEX INC;Equity;0,04;158,80;142 433,00;22 618 360,40;22 618 360,40;Information Technology;B8383P2;US96208T1043;New York Stock Exchange Inc.
TTWO;TAKE TWO INTERACTIVE SOFTWARE INC;Equity;0,04;134,00;168 759,00;22 613 706,00;22 613 706,00;Communication;2122117;US8740541094;NASDAQ
AZPN;ASPEN TECHNOLOGY INC;Equity;0,04;99,64;225 358,00;22 454 671,12;22 454 671,12;Information Technology;2051868;US0453271035;NASDAQ
LEN;LENNAR A CORP;Equity;0,04;59,25;377 922,00;22 391 878,50;22 391 878,50;Consumer Discretionary;2511920;US5260571048;New York Stock Exchange Inc.
VIAC;VIACOMCBS INC CLASS B;Equity;0,04;22,90;977 299,00;22 380 147,10;22 380 147,10;Communication;BKTNTR9;US92556H2067;NASDAQ
CHE;CHEMED CORP;Equity;0,04;435,24;51 097,00;22 239 458,28;22 239 458,28;Health Care;2190084;US16359R1032;New York Stock Exchange Inc.
G;GENPACT LTD;Equity;0,04;35,80;615 682,00;22 041 415,60;22 041 415,60;Information Technology;B23DBK6;BMG3922B1072;New York Stock Exchange Inc.
COLD;AMERICOLD REALTY TRUST;Equity;0,04;34,81;632 871,00;22 030 239,51;22 030 239,51;Real Estate;B3SKZK7;US03064D1081;New York Stock Exchange Inc.
MTN;VAIL RESORTS INC;Equity;0,04;184,20;117 912,00;21 719 390,40;21 719 390,40;Consumer Discretionary;2954194;US91879Q1094;New York Stock Exchange Inc.
LPLA;LPL FINANCIAL HOLDINGS INC;Equity;0,04;80,00;270 039,00;21 603 120,00;21 603 120,00;Financials;B75JX34;US50212V1008;NASDAQ
OLED;UNIVERSAL DISPLAY CORP;Equity;0,04;153,92;140 173,00;21 575 428,16;21 575 428,16;Information Technology;2277880;US91347P1057;NASDAQ
MCHP;MICROCHIP TECHNOLOGY INC;Equity;0,04;99,63;216 478,00;21 567 703,14;21 567 703,14;Information Technology;2592174;US5950171042;NASDAQ
GLW;CORNING INC;Equity;0,04;26,93;786 893,00;21 191 028,49;21 191 028,49;Information Technology;2224701;US2193501051;New York Stock Exchange Inc.
ODFL;OLD DOMINION FREIGHT LINE INC;Equity;0,04;157,88;133 872,00;21 135 711,36;21 135 711,36;Industrials;2656423;US6795801009;NASDAQ
LYV;LIVE NATION ENTERTAINMENT INC;Equity;0,04;49,12;426 767,00;20 962 795,04;20 962 795,04;Communication;B0T7YX2;US5380341090;New York Stock Exchange Inc.
AYX;ALTERYX INC CLASS A;Equity;0,04;141,13;147 575,00;20 827 259,75;20 827 259,75;Information Technology;BYWMQJ2;US02156B1035;New York Stock Exchange Inc.
NSC;NORFOLK SOUTHERN CORP;Equity;0,04;178,18;115 104,00;20 509 230,72;20 509 230,72;Industrials;2641894;US6558441084;New York Stock Exchange Inc.
ROP;ROPER TECHNOLOGIES INC;Equity;0,04;389,81;52 422,00;20 434 619,82;20 434 619,82;Industrials;2749602;US7766961061;New York Stock Exchange Inc.
LNG;CHENIERE ENERGY INC;Equity;0,04;46,10;443 210,00;20 431 981,00;20 431 981,00;Energy;2654364;US16411R2085;Nyse Mkt Llc
IR;INGERSOLL RAND INC;Equity;0,04;31,22;654 287,00;20 426 840,14;20 426 840,14;Industrials;BL5GZ82;US45687V1061;New York Stock Exchange Inc.
OMC;OMNICOM GROUP INC;Equity;0,04;55,03;370 682,00;20 398 630,46;20 398 630,46;Communication;2279303;US6819191064;New York Stock Exchange Inc.
FIVE;FIVE BELOW INC;Equity;0,04;110,45;182 775,00;20 187 498,75;20 187 498,75;Consumer Discretionary;B85KFY9;US33829M1018;NASDAQ
DOV;DOVER CORP;Equity;0,04;96,61;208 402,00;20 133 717,22;20 133 717,22;Industrials;2278407;US2600031080;New York Stock Exchange Inc.
LAMR;LAMAR ADVERTISING COMPANY CLAS;Equity;0,04;70,93;279 251,00;19 807 273,43;19 807 273,43;Real Estate;BSPHGN6;US5128161099;NASDAQ
PFPT;PROOFPOINT INC;Equity;0,04;107,30;181 356,00;19 459 498,80;19 459 498,80;Information Technology;B6VDQC3;US7434241037;NASDAQ
K;KELLOGG;Equity;0,04;63,59;305 072,00;19 399 528,48;19 399 528,48;Consumer Staples;2486813;US4878361082;New York Stock Exchange Inc.
CSL;CARLISLE COMPANIES INC;Equity;0,04;123,91;156 426,00;19 382 745,66;19 382 745,66;Industrials;2176318;US1423391002;New York Stock Exchange Inc.
PRAH;PRA HEALTH SCIENCES INC;Equity;0,04;94,63;204 719,00;19 372 558,97;19 372 558,97;Health Care;BSHZ3V5;US69354M1080;NASDAQ
CBRE;CBRE GROUP INC CLASS A;Equity;0,04;47,57;405 780,00;19 302 954,60;19 302 954,60;Real Estate;B6WVMH3;US12504L1098;New York Stock Exchange Inc.
RHI;ROBERT HALF;Equity;0,04;51,29;374 842,00;19 225 646,18;19 225 646,18;Industrials;2110703;US7703231032;New York Stock Exchange Inc.
HII;HUNTINGTON INGALLS INDUSTRIES INC;Equity;0,04;182,29;105 067,00;19 152 663,43;19 152 663,43;Industrials;B40SSC9;US4464131063;New York Stock Exchange Inc.
DCI;DONALDSON INC;Equity;0,04;45,43;421 431,00;19 145 610,33;19 145 610,33;Industrials;2276467;US2576511099;New York Stock Exchange Inc.
ROL;ROLLINS INC;Equity;0,04;41,41;460 833,00;19 083 094,53;19 083 094,53;Industrials;2747305;US7757111049;New York Stock Exchange Inc.
ADI;ANALOG DEVICES INC;Equity;0,04;118,41;160 403,00;18 993 319,23;18 993 319,23;Information Technology;2032067;US0326541051;NASDAQ
IEX;IDEX CORP;Equity;0,04;152,59;124 081,00;18 933 519,79;18 933 519,79;Industrials;2456612;US45167R1041;New York Stock Exchange Inc.
DFS;DISCOVER FINANCIAL SERVICES;Equity;0,04;52,99;356 033,00;18 866 188,67;18 866 188,67;Financials;B1YLC43;US2547091080;New York Stock Exchange Inc.
MXIM;MAXIM INTEGRATED PRODUCTS INC;Equity;0,04;57,15;327 590,00;18 721 768,50;18 721 768,50;Information Technology;2573760;US57772K1016;NASDAQ
GRUB;GRUBHUB INC;Equity;0,03;60,38;300 380,00;18 136 944,40;18 136 944,40;Consumer Discretionary;BKY7XF2;US4001101025;New York Stock Exchange Inc.
CVNA;CARVANA CLASS A;Equity;0,03;111,21;162 416,00;18 062 283,36;18 062 283,36;Consumer Discretionary;BYQHPG3;US1468691027;New York Stock Exchange Inc.
CDAY;CERIDIAN HCM HOLDING INC;Equity;0,03;72,61;247 346,00;17 959 793,06;17 959 793,06;Information Technology;BFX1V56;US15677J1088;New York Stock Exchange Inc.
DHR;DANAHER CORP;Equity;0,03;168,38;106 687,00;17 963 957,06;17 963 957,06;Health Care;2250870;US2358511028;New York Stock Exchange Inc.
PLNT;PLANET FITNESS INC CLASS A;Equity;0,03;66,90;268 456,00;17 959 706,40;17 959 706,40;Consumer Discretionary;BYSFJV8;US72703H1014;New York Stock Exchange Inc.
RP;REALPAGE INC;Equity;0,03;64,43;273 892,00;17 646 861,56;17 646 861,56;Information Technology;B4W2S29;US75606N1090;NASDAQ
BDX;BECTON DICKINSON;Equity;0,03;230,88;76 403,00;17 639 924,64;17 639 924,64;Health Care;2087807;US0758871091;New York Stock Exchange Inc.
MANH;MANHATTAN ASSOCIATES INC;Equity;0,03;84,21;208 932,00;17 594 163,72;17 594 163,72;Information Technology;2239471;US5627501092;NASDAQ
EEFT;EURONET WORLDWIDE INC;Equity;0,03;104,30;166 168,00;17 331 322,40;17 331 322,40;Information Technology;2320148;US2987361092;NASDAQ
CAT;CATERPILLAR INC;Equity;0,03;123,15;138 526,00;17 059 476,90;17 059 476,90;Industrials;2180201;US1491231015;New York Stock Exchange Inc.
PEN;PENUMBRA INC;Equity;0,03;167,70;101 545,00;17 029 096,50;17 029 096,50;Health Care;BZ0V201;US70975L1070;New York Stock Exchange Inc.
DELL;DELL TECHNOLOGIES INC CLASS C;Equity;0,03;46,90;362 486,00;17 000 593,40;17 000 593,40;Information Technology;BHKD3S6;US24703L2025;New York Stock Exchange Inc.
JAZZ;JAZZ PHARMACEUTICALS PLC;Equity;0,03;104,68;161 431,00;16 898 597,08;16 898 597,08;Health Care;B4Q5ZN4;IE00B4Q5ZN47;NASDAQ
SMG;SCOTTS MIRACLE GRO;Equity;0,03;133,06;126 971,00;16 894 761,26;16 894 761,26;Materials;2781518;US8101861065;New York Stock Exchange Inc.
IAA;IAA INC;Equity;0,03;41,98;398 991,00;16 749 642,18;16 749 642,18;Industrials;BJF8Q81;US4492531037;New York Stock Exchange Inc.
COG;CABOT OIL & GAS CORP;Equity;0,03;20,07;828 512,00;16 628 235,84;16 628 235,84;Energy;2162340;US1270971039;New York Stock Exchange Inc.
CDK;CDK GLOBAL INC;Equity;0,03;41,47;399 683,00;16 574 854,01;16 574 854,01;Information Technology;BQXTWQ5;US12508E1010;NASDAQ
DNKN;DUNKIN BRANDS GROUP INC;Equity;0,03;64,66;255 527,00;16 522 375,82;16 522 375,82;Consumer Discretionary;B3LHT03;US2655041000;NASDAQ
AVLR;AVALARA INC;Equity;0,03;105,95;154 497,00;16 368 957,15;16 368 957,15;Information Technology;BZ1NVP4;US05338G1067;New York Stock Exchange Inc.
PII;POLARIS INC;Equity;0,03;94,79;169 085,00;16 027 567,15;16 027 567,15;Consumer Discretionary;2692933;US7310681025;New York Stock Exchange Inc.
DE;DEERE;Equity;0,03;154,97;102 488,00;15 882 565,36;15 882 565,36;Industrials;2261203;US2441991054;New York Stock Exchange Inc.
OLLI;OLLIES BARGAIN OUTLET HOLDINGS INC;Equity;0,03;91,23;172 699,00;15 755 329,77;15 755 329,77;Consumer Discretionary;BZ22B38;US6811161099;NASDAQ
