12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
SBUX;STARBUCKS CORP;Equity;0,57;76,38;3 882 790,00;296 567 500,20;296 567 500,20;Consumer Discretionary;2842255;US8552441094;NASDAQ
CMCSA;COMCAST CORP CLASS A;Equity;0,52;39,46;6 961 693,00;274 708 405,78;274 708 405,78;Communication;2044545;US20030N1019;NASDAQ
SPGI;S&P GLOBAL INC;Equity;0,49;316,91;808 740,00;256 297 793,40;256 297 793,40;Financials;BYV2325;US78409V1044;New York Stock Exchange Inc.
BMY;BRISTOL MYERS SQUIBB;Equity;0,48;56,17;4 514 029,00;253 553 008,93;253 553 008,93;Health Care;2126335;US1101221083;New York Stock Exchange Inc.
NOW;SERVICENOW INC;Equity;0,45;385,13;612 507,00;235 894 820,91;235 894 820,91;Information Technology;B80NXX8;US81762P1021;New York Stock Exchange Inc.
UPS;UNITED PARCEL SERVICE INC CLASS B;Equity;0,44;101,48;2 296 255,00;233 023 957,40;233 023 957,40;Industrials;2517382;US9113121068;New York Stock Exchange Inc.
INTU;INTUIT INC;Equity;0,44;280,68;818 403,00;229 709 354,04;229 709 354,04;Information Technology;2459020;US4612021034;NASDAQ
VRTX;VERTEX PHARMACEUTICALS INC;Equity;0,44;268,56;853 338,00;229 172 453,28;229 172 453,28;Health Care;2931034;US92532F1003;NASDAQ
CCI;CROWN CASTLE INTERNATIONAL REIT CO;Equity;0,43;164,37;1 363 212,00;224 071 156,44;224 071 156,44;Real Estate;BTGQCX1;US22822V1017;New York Stock Exchange Inc.
BKNG;BOOKING HOLDINGS INC;Equity;0,43;1 623,92;137 331,00;223 014 557,52;223 014 557,52;Consumer Discretionary;BDRXDB4;US09857L1089;NASDAQ
ABT;ABBOTT LABORATORIES;Equity;0,42;89,02;2 452 603,00;218 330 719,06;218 330 719,06;Health Care;2002305;US0028241000;New York Stock Exchange Inc.
MMM;3M;Equity;0,42;154,87;1 407 495,00;217 978 750,65;217 978 750,65;Industrials;2595708;US88579Y1010;New York Stock Exchange Inc.
IBM;INTERNATIONAL BUSINESS MACHINES CO;Equity;0,41;121,91;1 764 751,00;215 140 794,41;215 140 794,41;Information Technology;2005973;US4592001014;New York Stock Exchange Inc.
SYK;STRYKER CORP;Equity;0,40;187,79;1 127 830,00;211 795 195,70;211 795 195,70;Health Care;2853688;US8636671013;New York Stock Exchange Inc.
ZTS;ZOETIS INC CLASS A;Equity;0,40;134,07;1 574 770,00;211 129 413,90;211 129 413,90;Health Care;B95WG16;US98978V1035;New York Stock Exchange Inc.
ADP;AUTOMATIC DATA PROCESSING INC;Equity;0,40;147,01;1 430 920,00;210 359 549,20;210 359 549,20;Information Technology;2065308;US0530151036;NASDAQ
ISRG;INTUITIVE SURGICAL INC;Equity;0,40;558,41;376 690,00;210 347 462,90;210 347 462,90;Health Care;2871301;US46120E6023;NASDAQ
TJX;TJX INC;Equity;0,40;52,46;3 992 619,00;209 452 792,74;209 452 792,74;Consumer Discretionary;2989301;US8725401090;New York Stock Exchange Inc.
EQIX;EQUINIX REIT INC;Equity;0,37;676,64;286 972,00;194 176 734,08;194 176 734,08;Real Estate;BVLZX12;US29444U7000;NASDAQ
